source	target
EPHA1	THBS1
ERBB2	THBS1
ERBB4	THBS1
ETS1	THBS1
EVPL	THBS1
PTK2B	THBS1
FGA	THBS1
FGB	THBS1
FGF2	THBS1
FGFR4	THBS1
FLG	THBS1
FLT1	THBS1
FLT4	THBS1
FMR1	THBS1
MTOR	THBS1
GATA2	THBS1
GATA3	THBS1
GATA6	THBS1
GPX1	THBS1
GRB2	THBS1
GTF2I	THBS1
HGF	THBS1
NRG1	THBS1
HIF1A	THBS1
HMGB1	THBS1
HNRNPD	THBS1
HOXA7	THBS1
HRAS	THBS1
HSP90AB1	THBS1
IGF2	THBS1
IL1B	THBS1
INHBA	THBS1
INSR	THBS1
IRF1	THBS1
IRF6	THBS1
ITGA4	THBS1
ITPR3	THBS1
KARS1	THBS1
KDR	THBS1
KIT	THBS1
LAMC1	THBS1
SMAD3	THBS1
SMAD4	THBS1
MAZ	THBS1
MEN1	THBS1
MLF1	THBS1
FOXO4	THBS1
MST1R	THBS1
MYC	THBS1
NF1	THBS1
NFATC2	THBS1
NOTCH1	THBS1
NOTCH2	THBS1
NPM1	THBS1
NTRK3	THBS1
PAX2	THBS1
PDGFB	THBS1
PDGFRB	THBS1
PIK3CB	THBS1
PIK3CG	THBS1
PLCG1	THBS1
PML	THBS1
PPARG	THBS1
PPP3CA	THBS1
PRKCI	THBS1
PRKD1	THBS1
MAP2K1	THBS1
MAP2K3	THBS1
PTK2	THBS1
PTK6	THBS1
PTPRK	THBS1
RAC1	THBS1
RASA1	THBS1
RELA	THBS1
RET	THBS1
RPL5	THBS1
RPS6KA3	THBS1
RRAS	THBS1
SLAMF1	THBS1
SOX2	THBS1
SPN	THBS1
SRC	THBS1
STC1	THBS1
STIM1	THBS1
STK11	THBS1
SYK	THBS1
TCF7L2	THBS1
TGFA	THBS1
TGFBR1	THBS1
TGFBR2	THBS1
AKT3	THBS1
GPC6	THBS1
CCL26	THBS1
RAPGEF3	THBS1
HAX1	THBS1
SIX2	THBS1
LILRB1	THBS1
ABL1	PDGFRA
ABL2	PDGFRA
AKT1	PDGFRA
CDK4	PDGFRA
CDK6	PDGFRA
CDKN1A	PDGFRA
CSF1R	PDGFRA
DHX9	PDGFRA
DYRK1A	PDGFRA
LPAR1	PDGFRA
EGFR	PDGFRA
EPHA2	PDGFRA
EPHA1	PDGFRA
EPHA3	PDGFRA
EPHA4	PDGFRA
EPHB1	PDGFRA
ERBB2	PDGFRA
ERBB4	PDGFRA
PTK2B	PDGFRA
FES	PDGFRA
FGA	PDGFRA
FGB	PDGFRA
FGF2	PDGFRA
FGFR1	PDGFRA
FGFR3	PDGFRA
FGFR2	PDGFRA
